idContrato,codigo_contratacion,estado,objeto_contratacion,entidad,ruc_entidad,departamento,provincia,distrito,fecha_publicacion,fecha_vencimiento,tiempo_restante_texto,moneda,monto_referencial,descripcion,enlace_publico,enlace_requerimiento,requerimiento_consultado,fecha_ultima_actualizacion,fecha_vencimiento_raw
95497,CM-900-2026-HRC-UL-ADQ,Vigente,Bien,GOBIERNO REGIONAL DE CUSCO - HOSPITAL REGIONAL CUSCO,,CUSCO,CUSCO,CUSCO,2026-09-17T21:17:01-05:00,2026-09-18T12:00:00-05:00,12 h restantes,,,ADQUISICION DE COMPRESA GASA QUIRURGICA RADIOPACA ESTERIL 48 CM X 48 CM X 5 (EXP. 20109),https://prod6.seace.gob.pe/buscador-publico/contrataciones/95497,https://prod6.seace.gob.pe/v1/s8uit-services/archivo/archivos-publico/descargar-archivo-contrato/379075,1,2026-09-17T23:39:28-05:00,18/09/2026 12:00:00
95479,CM-899-2026-HRC-UL-ADQ,Vigente,Bien,GOBIERNO REGIONAL DE CUSCO - HOSPITAL REGIONAL CUSCO,,CUSCO,CUSCO,CUSCO,2026-09-17T21:16:18-05:00,2026-09-18T12:00:00-05:00,12 h restantes,,,"ADQUISICION DE CATETER N°18C/CLIP SEGURIDAD, CATETER N°20 C/CLIP SEGURIDAD, CATETER N°22 C/CLIP SEGURIDAD, CATETER N°24 C/CLIP SEGURIDAD. (EXP. 20115)",https://prod6.seace.gob.pe/buscador-publico/contrataciones/95479,https://prod6.seace.gob.pe/v1/s8uit-services/archivo/archivos-publico/descargar-archivo-contrato/379086,1,2026-09-17T23:39:28-05:00,18/09/2026 12:00:00
95476,CM-898-2026-HRC-UL-ADQ,Vigente,Bien,GOBIERNO REGIONAL DE CUSCO - HOSPITAL REGIONAL CUSCO,,CUSCO,CUSCO,CUSCO,2026-09-17T20:48:08-05:00,2026-09-18T12:00:00-05:00,12 h restantes,,,"ADQUISICION DE CATETER VENOSO CENTRAL 4 FR X 8 CM, CATETER VENOSO CENTRAL DOBLE LUMEN 4FR X 8CM, CATETER VENOSO CENTRAL DOBEL LUMEN 7 FR X 20CM, CATETER VENOSO CENTRAL TRIPLE LUMEN 7 FR X 20 CM (EXP. 20104)",https://prod6.seace.gob.pe/buscador-publico/contrataciones/95476,https://prod6.seace.gob.pe/v1/s8uit-services/archivo/archivos-publico/descargar-archivo-contrato/379068,1,2026-09-17T23:39:28-05:00,18/09/2026 12:00:00
95478,CM-897-2026-HRC-UL-ADQ,Vigente,Bien,GOBIERNO REGIONAL DE CUSCO - HOSPITAL REGIONAL CUSCO,,CUSCO,CUSCO,CUSCO,2026-09-17T20:39:44-05:00,2026-09-18T12:00:00-05:00,12 h restantes,,,"ADQUISICION DE FORMALDEHIDO 40% X L, CLORHEXIDINA AL 2% X  1L CON DISPOSITIVO A CIRCUITO CERRADO CON PEDAL, ORTOFTALDEHIDO 0.55% X 1 GL (EXP. 20107)",https://prod6.seace.gob.pe/buscador-publico/contrataciones/95478,https://prod6.seace.gob.pe/v1/s8uit-services/archivo/archivos-publico/descargar-archivo-contrato/379065,1,2026-09-17T23:39:28-05:00,18/09/2026 12:00:00
95456,CM-896-2026-HRC-UL-ADQ,Vigente,Bien,GOBIERNO REGIONAL DE CUSCO - HOSPITAL REGIONAL CUSCO,,CUSCO,CUSCO,CUSCO,2026-09-17T20:32:51-05:00,2026-09-18T12:00:00-05:00,12 h restantes,,,"ADQUISICION DE BENZATINA BENCIPENICILINA 2400000 UI-INY, BROMURO DE IPRATROPIO 20 UG/DOSIS (20 MCG/DOSIS) AER 200 DOSIS, DICLOFENACO SODICO - 25MG/ML - 3ML - INY, ERITROMICINA (COMO ESTEREARATO O ETIL SUCCINATO) 500 MG TAB (EXP. 20097)",https://prod6.seace.gob.pe/buscador-publico/contrataciones/95456,https://prod6.seace.gob.pe/v1/s8uit-services/archivo/archivos-publico/descargar-archivo-contrato/379078,1,2026-09-17T23:39:28-05:00,18/09/2026 12:00:00
95475,CM-895-2026-HRC-UL-ADQ,Vigente,Bien,GOBIERNO REGIONAL DE CUSCO - HOSPITAL REGIONAL CUSCO,,CUSCO,CUSCO,CUSCO,2026-09-17T20:24:58-05:00,2026-09-18T12:00:00-05:00,12 h restantes,,,"ADQUISICION DE LACTULOSA 3.33 G/5 ML SUS 180 ML, LORATADINA 5 MG/5ML JBE 60ML, PREDNISONA 5MG/5ML JBE 120ML, VALPROATO SODICO 120 ML 250MG/5ML JBE (EXP. 20106)",https://prod6.seace.gob.pe/buscador-publico/contrataciones/95475,https://prod6.seace.gob.pe/v1/s8uit-services/archivo/archivos-publico/descargar-archivo-contrato/379053,1,2026-09-17T23:39:28-05:00,18/09/2026 12:00:00
95474,CM-894-2026-HRC-UL-ADQ,Vigente,Bien,GOBIERNO REGIONAL DE CUSCO - HOSPITAL REGIONAL CUSCO,,CUSCO,CUSCO,CUSCO,2026-09-17T20:12:30-05:00,2026-09-18T12:00:00-05:00,12 h restantes,,,ADQUISICION HIDROCORTISONA (COMO ACETATO) 1 G/100G (1%) CRM 20G (EXP. 20093),https://prod6.seace.gob.pe/buscador-publico/contrataciones/95474,https://prod6.seace.gob.pe/v1/s8uit-services/archivo/archivos-publico/descargar-archivo-contrato/379059,1,2026-09-17T23:39:28-05:00,18/09/2026 12:00:00
95473,CM-893-2026-HRC-UL-ADQ,Vigente,Bien,GOBIERNO REGIONAL DE CUSCO - HOSPITAL REGIONAL CUSCO,,CUSCO,CUSCO,CUSCO,2026-09-17T20:07:17-05:00,2026-09-18T12:00:00-05:00,12 h restantes,,,ADQUISICION DE CALCITRIOL 1 UG/ML - INY-ML. (EXP. 20094),https://prod6.seace.gob.pe/buscador-publico/contrataciones/95473,https://prod6.seace.gob.pe/v1/s8uit-services/archivo/archivos-publico/descargar-archivo-contrato/379047,1,2026-09-17T23:39:28-05:00,18/09/2026 12:00:00
95472,CM-892-2026-HRC-UL-ADQ,Vigente,Bien,GOBIERNO REGIONAL DE CUSCO - HOSPITAL REGIONAL CUSCO,,CUSCO,CUSCO,CUSCO,2026-09-17T20:03:54-05:00,2026-09-18T12:00:00-05:00,12 h restantes,,,ADQUISICION DE ESPARADRAPO DE TELA 2 IN X 10 YD (EXP. 20101),https://prod6.seace.gob.pe/buscador-publico/contrataciones/95472,https://prod6.seace.gob.pe/v1/s8uit-services/archivo/archivos-publico/descargar-archivo-contrato/379045,1,2026-09-17T23:39:28-05:00,18/09/2026 12:00:00
95455,CM-891-2026-HRC-UL-ADQ,Vigente,Bien,GOBIERNO REGIONAL DE CUSCO - HOSPITAL REGIONAL CUSCO,,CUSCO,CUSCO,CUSCO,2026-09-17T19:57:58-05:00,2026-09-18T12:00:00-05:00,12 h restantes,,,"ADQUISICION DICLOFENACO (SOLUCION OFTALMICA) 1MG/ML 5 ML SOLUCION, DORZOLAMIDA 20 MG/ML SOLUCION OFTALMICA 15 ML (EXP. 20108)",https://prod6.seace.gob.pe/buscador-publico/contrataciones/95455,https://prod6.seace.gob.pe/v1/s8uit-services/archivo/archivos-publico/descargar-archivo-contrato/379043,1,2026-09-17T23:39:28-05:00,18/09/2026 12:00:00
